City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port moresby,-9.4431,147.1797,26.33,79,99,1.34,PG,1706556608
1,college,64.8569,-147.8028,-30.03,66,100,0.0,US,1706556608
2,egilsstadir,65.2653,-14.3948,4.95,70,40,8.23,IS,1706556608
3,nikolayevsk-on-amure,53.1406,140.73,-19.42,100,95,1.19,RU,1706556609
4,tabou,4.423,-7.3528,27.32,80,3,4.42,CI,1706556609
5,praia,14.9215,-23.5087,25.3,57,51,7.72,CV,1706556374
6,constantia,44.1833,28.65,2.61,78,100,9.27,RO,1706556606
7,grytviken,-54.2811,-36.5092,8.69,61,89,4.12,GS,1706556610
8,atafu village,-8.5421,-172.5159,29.18,70,88,2.5,TK,1706556376
9,albany,42.6001,-73.9662,1.56,80,100,3.11,US,1706556593
10,ribeira grande,38.5167,-28.7,17.22,88,40,8.75,PT,1706556611
11,avarua,-21.2078,-159.775,26.03,100,75,3.6,CK,1706556611
12,santa vitoria do palmar,-33.5189,-53.3681,25.32,54,30,4.93,BR,1706556457
13,adamstown,-25.066,-130.1015,24.58,77,100,5.07,PN,1706556611
14,ushuaia,-54.8,-68.3,13.79,50,0,10.8,AR,1706556611
15,lata,40.1629,-8.3327,16.01,77,82,2.1,PT,1706556687
16,port-aux-francais,-49.35,70.2167,3.89,71,99,16.63,TF,1706556687
17,bikenibeu village,1.3673,173.1241,26.98,89,75,1.54,KI,1706556687
18,bilibino,68.0546,166.4372,-32.51,99,100,1.05,RU,1706556687
19,waitangi,-43.9535,-176.5597,17.12,98,49,1.34,NZ,1706556687
20,ciudad lazaro cardenas,17.9583,-102.2,28.62,59,100,2.84,MX,1706556688
21,fort bragg,35.139,-79.006,15.08,41,0,5.66,US,1706556688
22,amlapura,-8.45,115.6167,25.38,86,68,1.32,ID,1706556688
23,ilomantsi,62.6716,30.9328,-0.17,89,43,5.4,FI,1706556503
24,enewetak,11.3474,162.3373,25.68,61,71,3.41,MH,1706556688
25,le treport,50.0598,1.3758,10.0,84,100,6.21,FR,1706556688
26,puerto natales,-51.7236,-72.4875,18.25,52,40,7.72,CL,1706556688
27,papatowai,-46.5619,169.4708,16.18,69,100,2.05,NZ,1706556689
28,wailua homesteads,22.0669,-159.378,23.44,88,40,7.2,US,1706556689
29,korsakov,46.6328,142.7813,-4.09,94,100,3.09,RU,1706556689
30,hohhot,40.8106,111.6522,-13.84,72,0,2.0,CN,1706556689
31,vila velha,-20.3297,-40.2925,30.97,79,20,9.26,BR,1706556689
32,yanam,16.7333,82.2167,18.96,83,59,0.52,IN,1706556689
33,gorodishche,48.8045,44.4744,-9.51,85,0,2.0,RU,1706556690
34,nova sintra,14.8667,-24.7167,21.28,67,74,8.63,CV,1706556690
35,castro,-24.7911,-50.0119,22.42,64,59,3.22,BR,1706556690
36,west island,-12.1568,96.8225,24.99,78,28,2.06,CC,1706556690
37,hawaiian paradise park,19.5933,-154.9731,28.83,69,0,1.54,US,1706556690
38,edinburgh of the seven seas,-37.0676,-12.3116,16.59,71,41,9.34,SH,1706556690
39,yellowknife,62.456,-114.3525,-3.71,100,100,8.75,CA,1706556690
40,tiksi,71.6872,128.8694,-26.58,98,88,3.33,RU,1706556690
41,cabo san lucas,22.8909,-109.9124,30.34,60,75,5.36,MX,1706556623
42,isafjordur,66.0755,-23.124,-0.53,58,63,12.85,IS,1706556691
43,port mathurin,-19.6833,63.4167,27.6,82,99,9.81,MU,1706556691
44,masterton,-40.9597,175.6575,18.27,71,48,2.83,NZ,1706556691
45,puerto armuelles,8.2833,-82.8667,34.99,64,100,1.34,PA,1706556618
46,aasiaat,68.7098,-52.8699,-27.37,97,100,1.17,GL,1706556691
47,blackmans bay,-43.0167,147.3167,9.74,84,1,0.89,AU,1706556691
48,copiapo,-27.3667,-70.3333,21.83,37,0,4.37,CL,1706556691
49,la ronge,55.1001,-105.2842,4.14,56,20,3.09,CA,1706556692
50,new norfolk,-42.7826,147.0587,10.4,92,7,1.38,AU,1706556692
51,arrah,25.5667,84.6667,12.94,50,0,1.52,IN,1706556692
52,castillos,-34.1667,-53.8333,24.59,53,39,4.46,UY,1706556692
53,tezontepec,19.8833,-98.8167,17.47,26,100,3.27,MX,1706556692
54,mabaruma,8.2,-59.7833,29.51,60,60,3.49,GY,1706556692
55,sao miguel do araguaia,-13.275,-50.1628,27.28,77,100,1.35,BR,1706556693
56,zhanaozen,43.3,52.8,-4.11,89,88,3.97,KZ,1706556693
57,port elizabeth,-33.918,25.5701,22.28,90,20,13.89,ZA,1706556515
58,palikir - national government center,6.9248,158.1611,25.41,83,100,2.57,FM,1706556693
59,dudinka,69.4058,86.1778,-15.18,83,100,8.05,RU,1706556516
60,vernon,50.2581,-119.2691,7.39,94,100,1.54,CA,1706556693
61,port alfred,-33.5906,26.891,26.01,78,57,0.73,ZA,1706556693
62,cole harbour,44.6724,-63.4751,-1.13,88,100,7.15,CA,1706556693
63,tazovsky,67.4667,78.7,-22.69,91,67,4.42,RU,1706556694
64,wanning,18.8003,110.3967,20.75,91,95,1.62,CN,1706556694
65,yemetsk,63.4721,41.7941,1.32,90,100,4.92,RU,1706556694
66,yinchuan,38.4681,106.2731,-2.32,42,100,1.13,CN,1706556694
67,grafton,42.207,-71.6856,1.54,91,100,5.14,US,1706556694
68,barra dos coqueiros,-10.9089,-37.0386,30.01,70,0,7.2,BR,1706556694
69,luoyang,34.6836,112.4536,1.78,68,9,2.85,CN,1706556694
70,aripuana,-9.1667,-60.6333,30.09,67,91,1.13,BR,1706556694
71,ketchikan,55.3422,-131.6461,10.99,81,100,10.29,US,1706556695
72,delmas,18.5447,-72.3028,27.4,65,75,5.66,HT,1706556695
73,maicao,11.3832,-72.2432,32.23,44,17,4.78,CO,1706556695
74,lebu,-37.6167,-73.65,17.91,61,55,5.38,CL,1706556695
75,center,31.5107,-96.4247,21.0,48,0,5.14,US,1706556695
76,twon-brass,4.3151,6.2418,27.16,78,14,4.99,NG,1706556695
77,sandy point town,17.35,-62.8333,28.31,74,2,3.54,KN,1706556695
78,bethel,41.3712,-73.414,2.9,74,100,5.14,US,1706556695
79,rosetta,31.4044,30.4164,13.1,54,95,10.39,EG,1706556696
80,ghat,24.9647,10.1728,14.28,44,3,3.16,LY,1706556696
81,puerto ayora,-0.7393,-90.3518,31.98,75,100,5.05,EC,1706556696
82,qaqortoq,60.7167,-46.0333,-23.82,77,11,2.75,GL,1706556696
83,badger,64.8,-147.5333,-24.37,68,100,0.0,US,1706556696
84,international falls,48.6011,-93.411,2.3,80,100,4.63,US,1706556606
85,iskateley,67.6803,53.1512,-5.02,91,100,11.63,RU,1706556697
86,bodo,67.28,14.405,4.32,83,75,17.49,NO,1706556697
87,udachny,66.4167,112.4,-21.42,76,100,0.95,RU,1706556697
88,thunder bay,48.4001,-89.3168,-1.01,93,100,2.57,CA,1706556608
89,laojunmiao,39.8333,97.7333,-5.54,34,4,2.85,CN,1706556697
90,woodward,36.4337,-99.3904,21.57,24,0,3.6,US,1706556697
91,waingapu,-9.6567,120.2641,25.86,82,100,2.58,ID,1706556697
92,katlenburg-lindau,51.6833,10.1,6.74,86,100,0.45,DE,1706556697
93,utrik,11.2278,169.8474,26.03,69,100,5.36,MH,1706556697
94,malanje,-9.5402,16.341,19.41,96,97,0.92,AO,1706556698
95,troitsko-pechorsk,62.7084,56.1964,-14.91,98,100,3.37,RU,1706556698
96,tanjung pandan,-2.75,107.65,25.78,89,98,3.49,ID,1706556698
97,iqaluit,63.7506,-68.5145,-30.73,67,100,0.0,CA,1706556569
98,chonchi,-42.6128,-73.8092,20.56,43,98,0.98,CL,1706556698
99,hermanus,-34.4187,19.2345,22.11,74,97,8.73,ZA,1706556698
100,bredasdorp,-34.5322,20.0403,24.04,51,65,7.04,ZA,1706556698
101,shibganj,24.6829,88.1598,14.24,44,0,1.22,BD,1706556698
102,aykhal,66.0,111.5,-21.47,100,100,1.2,RU,1706556699
103,heihe,50.2441,127.4902,-29.68,98,22,1.23,CN,1706556699
104,brigantine,39.4101,-74.3646,5.57,77,100,6.69,US,1706556526
105,kodiak,57.79,-152.4072,-13.27,66,0,5.14,US,1706556699
106,novofedorivka,46.1713,32.3178,0.81,76,5,6.15,UA,1706556699
107,luderitz,-26.6481,15.1594,18.55,74,99,3.3,NA,1706556699
108,colonia,50.9333,6.95,11.01,81,0,4.12,DE,1706556654
109,coari,-4.085,-63.1414,29.32,82,97,1.59,BR,1706556699
110,santiago de cao,-7.9589,-79.2392,26.07,78,75,3.6,PE,1706556699
111,kesinga,20.2,83.2333,17.07,34,69,1.2,IN,1706556700
112,la passe,45.5549,-0.8967,12.21,88,100,5.11,FR,1706556700
113,pacasmayo,-7.4006,-79.5714,26.65,73,99,6.23,PE,1706556700
114,tura,25.5198,90.2201,12.47,61,0,1.35,IN,1706556700
115,fallon,39.4735,-118.7774,14.95,65,40,2.06,US,1706556505
116,san antonio de pale,-1.4014,5.6325,27.58,81,87,3.23,GQ,1706556700
117,hasaki,35.7333,140.8333,4.05,51,51,2.02,JP,1706556700
118,talcahuano,-36.7167,-73.1167,25.82,38,0,3.09,CL,1706556700
119,ar ruways,24.1103,52.7306,19.73,65,86,2.23,AE,1706556701
120,talnakh,69.4865,88.3972,-16.55,91,100,3.94,RU,1706556701
121,nieuw amsterdam,5.8833,-55.0833,29.09,78,40,3.09,SR,1706556701
122,jamestown,42.097,-79.2353,1.77,96,100,4.63,US,1706556492
123,panjakent,39.4952,67.6093,2.04,97,99,2.21,TJ,1706556701
124,atar,20.5169,-13.0499,21.51,11,0,3.82,MR,1706556701
125,sinabang,2.4803,96.3801,26.36,83,38,1.39,ID,1706556701
126,lompoc,34.6391,-120.4579,24.41,41,0,3.09,US,1706556504
127,longyearbyen,78.2186,15.6401,-3.09,86,75,8.23,SJ,1706556702
128,elburn,41.8923,-88.4723,4.47,91,100,6.17,US,1706556702
